快照時間,代號,名稱,市場,產業,昨收,開盤,最高,最低,盤中現價,盤中漲跌,盤中漲跌幅,盤中成交量,最近單量,盤中時間,價格來源,盤中狀態,來源
2026-09-14T15:24:32+08:00,3624,光頡,上櫃,電子零組件業,124.5,122.0,128.5,117.0,124.0,-0.5,-0.4,44654,1690,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,6173,信昌電,上櫃,電子零組件業,290.0,274.0,304.5,272.5,293.5,3.5,1.21,25410,850,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2303,聯電,上市,半導體業,140.5,136.5,143.5,135.0,142.5,2.0,1.42,130764,6671,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3374,精材,上櫃,半導體業,463.5,440.0,447.5,417.5,429.5,-34.0,-7.34,17313,709,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3037,欣興,上市,電子工業,977.0,947.0,979.0,932.0,970.0,-7.0,-0.72,12743,599,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3443,創意,上市,半導體業,6120.0,5995.0,6575.0,5850.0,6400.0,280.0,4.58,2511,87,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3189,景碩,上市,半導體業,822.0,795.0,810.0,784.0,798.0,-24.0,-2.92,10770,415,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3406,玉晶光,上市,光電業,1060.0,1015.0,1020.0,954.0,954.0,-106.0,-10.0,4671,37,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2454,聯發科,上市,半導體業,4585.0,4475.0,4650.0,4435.0,4560.0,-25.0,-0.55,5630,334,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,1303,南亞,上市,塑膠工業,234.5,232.0,236.5,220.5,234.0,-0.5,-0.21,54109,2532,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3017,奇鋐,上市,電子工業,3370.0,3255.0,3360.0,3210.0,3310.0,-60.0,-1.78,2114,130,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3026,禾伸堂,上市,電子工業,744.0,730.0,757.0,717.0,731.0,-13.0,-1.75,8097,354,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3231,緯創,上市,電腦及週邊設備業,185.5,181.0,183.0,179.5,181.0,-4.5,-2.43,33798,3105,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2492,華新科,上市,電子工業,311.5,303.0,309.5,291.0,305.5,-6.0,-1.93,27839,919,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3711,日月光投控,上市,半導體業,618.0,599.0,620.0,596.0,612.0,-6.0,-0.97,9135,692,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2409,友達,上市,光電業,30.2,29.25,29.75,28.65,28.7,-1.5,-4.97,309997,15093,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3006,晶豪科,上市,半導體業,290.5,280.5,287.5,270.5,270.5,-20.0,-6.88,13329,763,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,8299,群聯,上櫃,半導體業,1990.0,1920.0,1960.0,1910.0,1935.0,-55.0,-2.76,2062,106,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,6770,力積電,上市,半導體業,70.7,69.0,71.4,68.1,70.7,0.0,0.0,89943,4123,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3008,大立光,上市,光電業,6660.0,6395.0,6420.0,5995.0,5995.0,-665.0,-9.98,2264,24,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,8046,南電,上市,電子工業,1080.0,1040.0,1070.0,1025.0,1055.0,-25.0,-2.31,5994,257,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,4958,臻鼎-KY,上市,電子零組件業,495.0,480.0,498.0,475.5,489.5,-5.5,-1.11,18541,679,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2383,台光電,上市,電子工業,5365.0,5270.0,5395.0,5230.0,5345.0,-20.0,-0.37,1151,77,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,3661,世芯-KY,上市,半導體業,3650.0,3410.0,3655.0,3410.0,3590.0,-60.0,-1.64,1899,68,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2408,南亞科,上市,半導體業,493.0,477.5,486.0,470.0,473.0,-20.0,-4.06,46229,2353,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2330,台積電,上市,半導體業,2410.0,2385.0,2395.0,2380.0,2380.0,-30.0,-1.24,18172,1943,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2344,華邦電,上市,半導體業,171.5,166.5,167.5,160.0,160.0,-11.5,-6.71,118317,6012,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2327,國巨*,上市,電子零組件業,544.0,525.0,550.0,520.0,545.0,1.0,0.18,21396,1098,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2308,台達電,上市,電子工業,1620.0,1560.0,1630.0,1560.0,1620.0,0.0,0.0,7936,463,13:30:00,成交價,正常,TWSE MIS snapshot
2026-09-14T15:24:32+08:00,2317,鴻海,上市,其他電子業,248.0,244.5,249.5,243.5,248.5,0.5,0.2,21575,1725,13:30:00,成交價,正常,TWSE MIS snapshot
