快照時間,代號,名稱,市場,產業,盤中現價,盤中漲跌幅,盤中漲跌,盤中成交量,盤中時間,AI總分,盤中強度分,即時決策,入場狀態,左側試單價,右側確認價,追價上限,防守停損,風險分,決策原因,昨收,開盤,最高,最低,最近單量,價格來源,盤中狀態,技術分,籌碼分,候選來源
2026-07-17T16:31:59+08:00,6770,力積電,上市,半導體業,68.9,-9.93,-7.6,268297,13:30:00,61.0,57.5,暫不進場,⚪ 盤中轉弱,68.90,73.40,70.14,67.66,30.0,價格轉弱，先等止跌或尾盤確認。,76.5,72.4,73.4,68.9,1445,成交價,正常,75.0,65.0,latest_rank
2026-07-17T16:31:59+08:00,3441,聯一光,上櫃,光電業,68.0,-2.44,-1.7,5774,13:30:00,55.0,38.2,觀察,⚪ 訊號未完整,66.98,70.60,69.22,65.77,35.0,分數或價格結構還不夠一致。,69.7,68.0,70.6,66.5,310,成交價,正常,0.0,0.0,focus
2026-07-17T16:31:59+08:00,2409,友達,上市,光電業,25.8,-6.69,-1.85,209597,13:30:00,55.0,33.1,暫不進場,⚪ 盤中轉弱,25.55,26.75,26.26,25.09,35.0,價格轉弱，先等止跌或尾盤確認。,27.65,26.5,26.75,25.55,8938,成交價,正常,0.0,0.0,focus
2026-07-17T16:31:59+08:00,3042,晶技,上市,電子零組件業,168.5,-9.65,-18.0,12029,13:30:00,55.0,31.1,暫不進場,⚪ 盤中轉弱,168.00,179.50,171.53,164.98,35.0,價格轉弱，先等止跌或尾盤確認。,186.5,177.5,179.5,168.0,436,成交價,正常,0.0,0.0,focus
2026-07-17T16:31:59+08:00,6257,矽格,上市,半導體業,214.5,-9.87,-23.5,7581,13:30:00,55.0,31.1,暫不進場,⚪ 盤中轉弱,214.50,230.50,218.36,210.64,35.0,價格轉弱，先等止跌或尾盤確認。,238.0,230.5,230.5,214.5,111,成交價,正常,0.0,0.0,focus
2026-07-17T16:31:59+08:00,2313,華通,上市,電子工業,212.0,-9.98,-23.5,32964,13:30:00,44.0,43.4,暫不進場,⚪ 盤中轉弱,212.00,222.00,215.82,208.18,30.0,價格轉弱，先等止跌或尾盤確認。,235.5,219.5,222.0,212.0,139,成交價,正常,45.0,55.0,latest_rank
2026-07-17T16:31:59+08:00,2382,廣達,上市,電子工業,325.5,-7.53,-26.5,32412,13:30:00,21.0,27.6,暫不進場,⚪ 盤中轉弱,324.50,349.00,331.36,318.66,20.0,價格轉弱，先等止跌或尾盤確認。,352.0,346.0,349.0,324.5,3440,成交價,正常,10.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,8039,台虹,上市,電子零組件業,192.5,-3.51,-7.0,57485,13:30:00,70.0,70.6,暫不進場,⚪ 盤中轉弱,189.61,201.00,195.97,186.20,40.0,價格轉弱，先等止跌或尾盤確認。,199.5,194.0,201.0,188.0,1363,成交價,正常,90.0,70.0,latest_rank
2026-07-17T16:31:59+08:00,3711,日月光投控,上市,半導體業,614.0,-9.97,-68.0,24995,13:30:00,58.2,55.1,暫不進場,⚪ 盤中轉弱,614.00,635.00,625.05,602.95,30.0,價格轉弱，先等止跌或尾盤確認。,682.0,625.0,635.0,614.0,435,成交價,正常,55.0,80.0,latest_rank
2026-07-17T16:31:59+08:00,1301,台塑,上市,塑膠工業,62.8,-4.27,-2.8,73002,13:30:00,54.8,57.0,暫不進場,⚪ 盤中轉弱,62.00,65.90,63.93,60.88,30.0,價格轉弱，先等止跌或尾盤確認。,65.6,65.0,65.9,62.0,3601,成交價,正常,55.0,70.0,latest_rank
