日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-07-01,5483,中美晶,未知,半導體業,198.0,81.0,100,80,20,2.27,14458145,20275134,-172,20,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,176.1,192.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、收盤接近當日高點、今日收漲,短線乖離過大,法人單日買超、法人近3日合計買超,籌碼無明顯風險,12.44,18.62,True
2026-07-01,3711,日月光投控,未知,半導體業,703.0,72.0,80,80,0,0.77,2941004,6940953,192,0,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,656.6,700.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,7.07,14.94,True
2026-07-01,2330,台積電,未知,半導體業,2505.0,70.0,70,90,0,0.85,11755982,10896644,-872,45,已抓,觀察型：等待更明確突破或量價確認,2403.0,2535.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨,籌碼無明顯風險,4.24,5.33,False
2026-07-01,2454,聯發科,未知,半導體業,4335.0,66.5,70,80,0,0.7,370952,1388765,-81,-34,已抓,觀察型：等待更明確突破或量價確認,4136.0,4970.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,4.81,0.71,False
2026-07-01,3443,創意,未知,半導體業,5045.0,66.5,70,80,0,1.06,226540,186382,-60,-1,已抓,觀察型：等待更明確突破或量價確認,4716.0,5330.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,6.98,9.55,False
2026-07-01,3017,奇鋐,未知,電子工業,2620.0,66.5,70,80,0,1.17,1230698,3788002,29,23,已抓,觀察型：等待更明確突破或量價確認,2441.0,2965.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,7.33,5.85,False
2026-07-01,6669,緯穎,未知,電子工業,5035.0,66.5,70,80,0,1.46,281955,176507,-70,22,已抓,觀察型：等待更明確突破或量價確認,4615.0,5740.0,站上5日線、站上10日線、站上20日線、站上60日線、收盤接近當日高點、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,9.1,1.29,False
2026-07-01,0050,元大台灣50,未知,ETF,109.35,61.0,60,80,0,0.56,19304529,34102310,-138,22,已抓,觀察型：等待更明確突破或量價確認,106.38,112.3,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,暫無明顯高風險訊號,法人單日買超、法人近3日合計買超,籌碼無明顯風險,2.79,3.69,False
2026-07-01,1815,富喬,未知,電子零組件業,104.0,52.2,60,55,0,1.86,-13427794,12602897,-4037,-336,已抓,觀察型：等待更明確突破或量價確認,103.94,113.0,站上5日線、站上10日線、站上20日線、成交量放大,暫無明顯高風險訊號,法人近3日合計買超、融資減少，籌碼較乾淨,法人單日賣超、融券回補，短線軋空力道可能減弱,0.06,3.89,False
2026-07-01,2303,聯電,未知,電子工業,169.0,50.5,60,50,0,0.79,26567510,-24404210,722,361,已抓,觀察型：等待更明確突破或量價確認,168.0,185.5,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,暫無明顯高風險訊號,法人單日買超、融券增加，可能有軋空動能,法人近3日合計賣超、融資增加，籌碼略偏雜,0.6,15.42,False
2026-07-01,2472,立隆電,未知,電子工業,425.0,47.8,55,50,0,1.22,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,412.8,453.5,站上5日線、站上10日線、站上20日線、站上60日線,暫無明顯高風險訊號,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,2.96,12.98,False
2026-07-01,2449,京元電子,未知,半導體業,331.0,47.8,55,50,0,1.05,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,323.9,353.5,站上5日線、站上10日線、站上20日線、站上60日線,暫無明顯高風險訊號,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,2.19,8.01,False
