日期,代號,名稱,市場,產業,收盤價,AI總分,技術分,籌碼分,風險分,量比,法人單日買賣超,法人近3日買賣超,融資變化,融券變化,籌碼狀態,AI進場判斷,停損參考,壓力參考,技術面原因,技術風險,籌碼面原因,籌碼風險,5日乖離率,20日乖離率,突破20日高點
2026-09-23,3529,力旺,未知,半導體業,3305.0,59.8,100,25,40,1.99,-68097,-69919,-136,-2,已抓,強勢突破型：不要早盤追高，等回測支撐或尾盤確認,2960.0,3110.0,站上5日線、站上10日線、站上20日線、站上60日線、突破近20日高點、成交量放大、收盤接近當日高點、今日收漲,短線乖離過大、波段乖離過大,籌碼無明顯加分,法人單日賣超、法人近3日合計賣超,11.66,23.14,True
2026-09-23,8150,南茂,未知,半導體業,107.0,71.5,75,95,30,1.59,8266196,35438463,-2365,393,已抓,偏多型：可觀察回測5日線或10日線,99.24,110.5,站上5日線、站上10日線、站上20日線、站上60日線、成交量放大、今日收漲,爆量長上影,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨、融券增加，可能有軋空動能,籌碼無明顯風險,7.82,16.46,False
2026-09-23,6488,環球晶,未知,半導體業,950.0,47.5,60,50,30,1.75,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,941.6,1015.0,站上5日線、站上10日線、站上20日線、成交量放大,爆量長上影,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,0.89,0.69,False
2026-09-23,6182,合晶,未知,半導體業,115.5,47.5,60,50,30,1.5,0,0,0,0,未抓,觀察型：等待更明確突破或量價確認,115.2,125.0,站上5日線、站上10日線、站上20日線、成交量放大,爆量長上影,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,0.26,4.64,False
2026-09-23,3037,欣興,未知,電子工業,1160.0,62.5,60,90,20,1.39,5629629,13520617,-915,87,已抓,觀察型：等待更明確突破或量價確認,1044.2,1230.0,站上5日線、站上10日線、站上20日線、站上60日線、今日收漲,短線乖離過大,法人單日買超、法人近3日合計買超、融資減少，籌碼較乾淨,籌碼無明顯風險,11.09,15.84,False
2026-09-23,2344,華邦電,未知,半導體業,172.5,32.0,30,50,20,0.7,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,173.4,192.0,站上10日線、站上60日線、今日收漲,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-0.52,-1.58,False
2026-09-23,1303,南亞,未知,塑膠工業,227.5,21.0,10,50,20,0.78,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,234.5,251.5,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-2.99,-1.97,False
2026-09-23,3008,大立光,未知,光電業,6190.0,21.0,10,50,20,0.75,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,6289.0,7995.0,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-1.57,-8.09,False
2026-09-23,3081,聯亞,未知,通信網路業,2680.0,21.0,10,50,20,1.34,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,2796.0,3600.0,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-4.15,-10.58,False
2026-09-23,3231,緯創,未知,電子工業,180.0,21.0,10,50,20,0.62,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,184.0,200.5,站上60日線,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-2.17,-2.68,False
2026-09-23,4958,臻鼎-KY,未知,電子零組件業,473.0,15.5,0,50,20,1.18,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,476.2,550.0,技術面無明顯加分,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-0.67,-3.13,False
2026-09-23,6669,緯穎,未知,電子工業,2105.0,15.5,0,50,20,0.63,0,0,0,0,未抓,暫不進場：分數不足或風險偏高,2129.0,7800.0,技術面無明顯加分,跌破5日線,快速模式：尚未抓取籌碼細節,快速模式：尚未抓取籌碼細節,-1.13,-35.98,False
