驗證Key,日期,最新時間,代號,名稱,股票型態,目前狀態,目前決策,結果分類,盤後驗證結果,驗證狀態,驗證時間,首次價格,驗證價格,目前報酬%,驗證報酬%,最高報酬%,最大回撤%,驗證最高報酬%,驗證最大回撤%,AI總分,風險分,左側低吸分,盤中資金分,漲停前兆分,即時入場分,左側試單價,防守停損,右側加碼價,追價上限,停損距離%,資料來源,同步來源,狀態歷程
2026-06-12_2313,2026-06-12,18:47:01,2313,華通,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,263.0,263.0,0.0,0.0,6.84,0,6.84,0,71.8,30.0,65.0,45.6,0,45.9,263.00,259.06,291.50,267.73,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認 → ⚪ 候選 / 觀察
2026-06-12_2382,2026-06-12,18:47:01,2382,廣達,中大型資金股,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,372.0,372.0,0.0,0.0,1.75,0,1.75,0,29.2,20.0,63.9,57.2,4.3,46.2,372.00,366.42,384.00,378.70,1.5,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3441,2026-06-12,18:47:01,3441,聯一光,小型強攻 / 漲停前兆股,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,70.0,70.0,0.0,0.0,0,0,0,0,50.0,30.0,65.0,46.6,0,44.1,69.60,68.56,75.50,71.26,2.06,備援池,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_2330,2026-06-12,18:47:01,2330,台積電,中大型資金股,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,2310.0,2310.0,0.0,0.0,0,-0.54,0,-0.54,26.5,20.0,59.7,65.7,21.4,50.8,2290.00,2255.65,2328.48,2351.58,2.35,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2327,2026-06-12,18:47:01,2327,國巨*,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,855.0,855.0,0.0,0.0,5.5,0,5.5,0,55.3,20.0,60.5,64.1,18.2,52.8,852.00,839.22,919.00,870.39,1.85,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察 → 🔴 已過熱 / 等回測
2026-06-12_2454,2026-06-12,18:47:01,2454,聯發科,中大型資金股,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,4180.0,4180.0,0.0,0.0,2.33,0,2.33,0,26.0,20.0,60.3,64.3,18.6,50.0,4165.00,4102.52,4415.00,4255.24,1.85,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2303,2026-06-12,18:47:01,2303,聯電,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,133.5,133.5,0.0,0.0,3.0,0,3.0,0,25.5,30.0,51.4,82.2,54.4,60.2,132.50,130.51,137.50,135.90,2.24,盤後AI候選,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測 → 🔴 接近漲停 / 不追
2026-06-12_2344,2026-06-12,18:47:01,2344,華邦電,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,172.0,172.0,0.0,0.0,0,-1.31,0,-1.31,37.0,30.0,35.2,94.6,100,69.1,169.42,166.88,173.38,175.10,2.98,盤後AI候選,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追 → 🔴 已過熱 / 等回測
2026-06-12_2408,2026-06-12,18:47:01,2408,南亞科,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,374.0,374.0,0.0,0.0,0,-0.4,0,-0.4,32.0,20.0,35.0,95.0,100,68.7,368.39,362.86,376.99,380.73,2.98,盤後AI候選,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_2308,2026-06-12,18:47:01,2308,台達電,中大型資金股,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,2215.0,2215.0,0.0,0.0,0,-0.34,0,-0.34,21.0,20.0,49.9,65.2,20.4,46.5,2181.78,2149.05,2280.00,2254.87,2.98,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_0050,2026-06-12,18:47:01,0050,元大台灣50,ETF / 市場動能,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,101.95,101.95,0.0,0.0,0.25,0,0.25,0,26.5,20.0,60.8,63.4,16.8,49.5,101.55,100.03,103.75,103.79,1.88,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2317,2026-06-12,18:47:01,2317,鴻海,中大型資金股,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,260.5,260.5,0.0,0.0,2.02,0,2.02,0,21.0,20.0,63.5,58.1,6.2,45.9,260.00,256.10,269.00,265.19,1.69,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_4958,2026-06-12,18:47:01,4958,臻鼎-KY,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,552.0,552.0,0.0,0.0,0,0,0,0,50.0,30.0,46.3,72.4,34.8,53.5,543.72,535.56,578.00,561.94,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_3037,2026-06-12,18:47:01,3037,欣興,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,902.0,902.0,0.0,0.0,0.06,0,0.06,0,21.0,20.0,43.8,77.5,45.0,53.5,890.00,876.65,930.00,918.24,2.81,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3189,2026-06-12,18:47:01,3189,景碩,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,610.0,610.0,0.0,0.0,0,0,0,0,50.0,30.0,55.0,49.2,0,41.5,600.85,591.84,664.00,620.98,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3008,2026-06-12,18:47:01,3008,大立光,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,4020.0,4020.0,0.0,0.0,2.99,0,2.99,0,50.5,30.0,65.0,41.1,0,42.2,4020.00,3959.70,4355.00,4092.36,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認 → ⚪ 候選 / 觀察
2026-06-12_8046,2026-06-12,18:47:01,8046,南電,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,819.0,819.0,0.0,0.0,1.34,0,1.34,0,21.0,20.0,62.0,61.0,11.9,47.5,812.00,799.82,868.00,833.74,2.34,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_8021,2026-06-12,18:47:01,8021,尖點,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,522.0,522.0,0.0,0.0,4.21,0,4.21,0,65.0,40.0,65.0,29.3,0,39.5,522.00,514.17,627.00,531.40,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_6669,2026-06-12,18:47:01,6669,緯穎,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,4850.0,4850.0,0.0,0.0,2.11,0,2.11,0,21.0,20.0,65.0,40.9,0,39.2,4845.00,4772.32,5135.00,4937.30,1.6,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認 → ⚪ 候選 / 觀察
2026-06-12_2383,2026-06-12,18:47:01,2383,台光電,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,4830.0,4830.0,0.0,0.0,1.97,0,1.97,0,56.0,30.0,55.0,34.2,0,36.8,4757.55,4686.19,5500.00,4916.94,2.98,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3665,2026-06-12,18:47:01,3665,貿聯-KY,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,2310.0,2310.0,0.0,0.0,0,0,0,0,50.0,30.0,41.1,82.8,55.5,59.5,2275.35,2241.22,2350.00,2351.58,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-12_3042,2026-06-12,18:47:01,3042,晶技,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,224.5,224.5,0.0,0.0,4.01,0,4.01,0,64.5,20.0,65.0,45.1,0,45.0,224.50,221.13,247.00,228.54,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認 → ⚪ 候選 / 觀察
2026-06-12_2368,2026-06-12,18:47:01,2368,金像電,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,1320.0,1320.0,0.0,0.0,0.19,0,0.19,0,29.2,20.0,65.0,47.6,0,42.3,1305.00,1285.42,1450.00,1343.76,2.62,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_3017,2026-06-12,18:47:01,3017,奇鋐,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 18:47:01,2405.0,2405.0,0.0,0.0,0.52,0,0.52,0,15.5,20.0,59.0,67.0,24.0,50.4,2380.00,2344.30,2480.00,2448.29,2.52,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
