updated_at,session_mode,market_env_score,market_label,night_risk_score,night_label,twii_pct,twoii_pct,nq_pct,sox_pct,breadth_up_ratio,breadth_avg_pct,txf_price,txf_pct
2026-06-12T17:59:10.006115+08:00,night_context,77.2,🟢 大盤偏多,33.1,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.5328400885804224,7.905452046629077,0.7667,-0.013,,
2026-06-12T18:31:19.669935+08:00,night_context,87.2,🟢 大盤偏多,34.6,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.4344173970591979,7.905452046629077,0.7667,-0.013,,
2026-06-12T18:46:47.932121+08:00,night_context,70.6,🟢 大盤偏多,35.9,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.30290431787135474,7.905452046629077,0.7667,-0.013,,
2026-06-13T01:55:04.699282+08:00,weekend,75.5,🟢 大盤偏多,32.4,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.7924723610415836,2.4696012690489773,0.7333,1.9913,,
2026-06-13T07:03:36.429488+08:00,weekend,75.5,🟢 大盤偏多,35.4,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.7228976997938215,1.5186800408580996,0.7333,1.9913,,
2026-06-13T12:38:33.587942+08:00,weekend,82.0,🟢 大盤偏多,36.0,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.6694439966400529,1.5186800408580996,0.7333,1.9913,,
2026-06-13T12:53:48.720228+08:00,weekend,82.0,🟢 大盤偏多,36.0,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.6694439966400529,1.5186800408580996,0.7333,1.9913,,
2026-06-13T13:02:07.036562+08:00,weekend,87.5,🟢 大盤偏多,36.0,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.6694439966400529,1.5186800408580996,0.7333,1.9913,44169.04,1.1
2026-06-13T13:13:26.774838+08:00,weekend,87.5,🟢 大盤偏多,36.0,🟢 夜盤偏多,2.3629032669238543,0.6461975197967882,0.6694439966400529,1.5186800408580996,0.7333,1.9913,44704.0,1.1
2026-06-15T09:53:18.818383+08:00,intraday,92.0,🟢 大盤偏多,25.6,🟢 夜盤偏多,2.6628380422123765,0.6461975197967882,1.7623558762052456,1.5189729261885578,0.7333,1.9913,45711.0,3.38
2026-06-15T10:23:58.966069+08:00,intraday,92.0,🟢 大盤偏多,25.4,🟢 夜盤偏多,2.6276550271411843,0.6461975197967882,1.7800552895961164,1.5189729261885578,0.7333,1.9913,45534.0,2.98
2026-06-15T10:39:19.738571+08:00,intraday,92.0,🟢 大盤偏多,24.7,🟢 夜盤偏多,2.488281384426729,0.6461975197967882,1.8407389926505293,1.5189729261885578,0.7333,1.9913,45586.0,3.1
2026-06-15T10:52:36.709382+08:00,intraday,92.0,🟢 大盤偏多,25.2,🟢 夜盤偏多,2.503065495650351,0.6461975197967882,1.7851122648506506,1.5189729261885578,0.7333,1.9913,45621.0,3.18
2026-06-16T03:35:05.283728+08:00,night_context,90.2,🟢 大盤偏多,17.3,🟢 夜盤偏多,2.7801147591163335,0.6461975197967882,2.9544563049265977,5.417070823178009,0.7333,3.5923,46156.0,1.23
2026-06-16T04:03:40.030083+08:00,night_context,74.3,🟢 大盤偏多,17.8,🟢 夜盤偏多,2.7801147591163335,0.6461975197967882,2.9385990535724718,5.445571803249757,,,46185.0,1.29
2026-06-16T04:33:30.527318+08:00,night_context,74.7,🟢 大盤偏多,17.4,🟢 夜盤偏多,2.7801147591163335,0.6461975197967882,3.00620101987164,5.445571803249757,,,46218.0,1.36
2026-06-17T03:00:15.580049+08:00,night_context,72.0,🟢 大盤偏多,89.1,🔴 夜盤風險高,0.9079897147366034,0.6461975197967882,-1.3494577059219,-4.197885290975513,0.6,0.7414,45210.0,1.21
2026-06-17T03:53:31.232762+08:00,night_context,73.7,🟢 大盤偏多,92.4,🔴 夜盤風險高,0.9079897147366034,0.6461975197967882,-1.5446673740654642,-5.050766250984152,0.6,0.7414,45055.0,1.55
2026-06-17T03:58:47.523915+08:00,night_context,74.3,🟢 大盤偏多,92.5,🔴 夜盤風險高,0.9079897147366034,0.6461975197967882,-1.5527673602954877,-5.558141519103026,0.6,0.7414,45005.0,1.66
2026-06-17T22:24:30.847325+08:00,night_context,74.4,🟢 大盤偏多,38.2,🟢 夜盤偏多,0.14887842373985893,0.6461975197967882,0.4214259205805946,3.400303515248161,0.7143,3.0823,46380.0,0.8
2026-06-18T00:48:29.790821+08:00,night_context,60.1,🟡 大盤震盪,37.2,🟢 夜盤偏多,0.14887842373985893,0.6461975197967882,0.46101191703434913,3.208656390274716,,,46483.0,1.03
2026-06-18T01:35:20.999086+08:00,night_context,75.7,🟢 大盤偏多,39.1,🟢 夜盤偏多,0.14887842373985893,0.6461975197967882,0.3043173477382376,3.2902707754682896,0.7143,3.0823,46500.0,1.06
2026-06-18T01:53:03.868714+08:00,night_context,61.0,🟡 大盤震盪,39.0,🟢 夜盤偏多,0.14887842373985893,0.6461975197967882,0.31173972207331657,3.527697176781644,,,46566.0,1.21
2026-06-18T20:39:35.291440+08:00,night_context,64.3,🟢 大盤偏多,29.2,🟢 夜盤偏多,1.2812629489166618,0.6461975197967882,1.56839868327847,1.3753866810588788,,,46893.0,0.3
2026-06-19T01:49:47.461178+08:00,night_context,86.1,🟢 大盤偏多,22.2,🟢 夜盤偏多,1.2812629489166618,0.6461975197967882,2.3834326430267927,6.646540138688878,0.6944,2.7467,47536.0,1.68
2026-06-20T00:20:52.716617+08:00,weekend,86.4,🟢 大盤偏多,43.3,⚪ 夜盤中性,1.2812629489166618,0.6461975197967882,-0.19775551558850576,6.416163688967451,0.6944,2.7106,47565.0,1.74
2026-06-20T00:42:22.309879+08:00,weekend,86.4,🟢 大盤偏多,42.1,⚪ 夜盤中性,1.2812629489166618,0.6461975197967882,-0.1261403494494584,6.416163688967451,0.6944,2.7106,47565.0,1.74
2026-06-23T02:59:31.755408+08:00,night_context,82.4,🟢 大盤偏多,54.1,⚪ 夜盤中性,2.7468083641090644,0.6461975197967882,-0.39795245729538814,1.0253188184481727,0.6111,2.4553,48744.0,0.65
2026-06-23T03:57:49.216804+08:00,night_context,83.2,🟢 大盤偏多,50.9,⚪ 夜盤中性,2.7468083641090644,0.6461975197967882,-0.4117872052995223,1.8452796280629866,0.6111,2.4553,48826.0,0.82
2026-06-23T20:17:41.639136+08:00,night_context,65.7,🟢 大盤偏多,74.6,🔴 夜盤風險高,-1.3423538551671292,0.6461975197967882,-2.572300063614269,2.042563327028449,0.6111,2.4553,46436.0,2.11
2026-06-23T22:05:30.813748+08:00,night_context,35.1,🔴 大盤偏弱,100,🔴 夜盤風險高,-1.3423538551671292,0.6461975197967882,-2.5078702268908937,-5.69450477470602,0.1389,-3.2992,46621.0,1.72
2026-06-24T00:12:21.380172+08:00,night_context,53.7,🟡 大盤震盪,100,🔴 夜盤風險高,-1.3423538551671292,0.6461975197967882,-2.639176602998026,-6.560554648010767,,,46565.0,1.84
2026-06-24T00:44:46.792585+08:00,night_context,35.9,🔴 大盤偏弱,100,🔴 夜盤風險高,-1.3423538551671292,0.6461975197967882,-2.6285742248030406,-6.683515636066358,0.1389,-3.2992,46546.0,1.88
