代號,名稱,盤中現價,盤中漲跌幅,v225決策,v225訊號,v225信心分,v225停損,weak_count,state_updated_at
3441,聯一光,181.0,1.97,C級候選觀察,🟣 有前兆但未確認,68.0,175.00,0,2026-09-24T17:37:38+08:00
2382,廣達,338.5,-0.88,觀察,⚪ 條件不足,64.6,330.00,0,2026-09-24T17:37:38+08:00
2313,華通,222.5,-0.67,觀察,⚪ 條件不足,67.4,217.00,0,2026-09-24T17:37:38+08:00
6770,力積電,72.0,-1.5,觀察,⚪ 條件不足,63.4,70.20,0,2026-09-24T17:37:38+08:00
3042,晶技,203.0,2.53,C級候選觀察,🟣 有前兆但未確認,66.6,189.00,0,2026-09-24T17:37:38+08:00
6257,矽格,243.0,-1.62,觀察,⚪ 條件不足,60.8,236.50,0,2026-09-24T17:37:38+08:00
2409,友達,34.2,-1.44,觀察,⚪ 條件不足,60.3,33.35,0,2026-09-24T17:37:38+08:00
8150,南茂,112.0,4.67,B級等二次確認,🟡 動能成立但缺一條件,76.0,105.00,0,2026-09-24T17:37:38+08:00
2330,台積電,2475.0,-1.0,觀察,⚪ 條件不足,69.1,2415.00,0,2026-09-24T17:37:38+08:00
8046,南電,1240.0,2.48,C級候選觀察,🟣 有前兆但未確認,71.3,1190.00,0,2026-09-24T17:37:38+08:00
6213,聯茂,595.0,9.98,不可追,🔴 追高風險區,67.0,580.00,0,2026-09-24T17:37:38+08:00
2408,南亞科,503.0,-2.33,觀察,⚪ 條件不足,63.3,490.50,0,2026-09-24T17:37:38+08:00
3037,欣興,1185.0,2.16,B級等二次確認,🟡 動能成立但缺一條件,75.7,1145.00,0,2026-09-24T17:37:38+08:00
2454,聯發科,5285.0,1.93,C級候選觀察,🟣 有前兆但未確認,68.0,5105.00,0,2026-09-24T17:37:38+08:00
3529,力旺,3230.0,-2.27,觀察,⚪ 條件不足,59.7,3150.00,0,2026-09-24T17:37:38+08:00
3665,貿聯-KY,2340.0,0.0,觀察,⚪ 條件不足,64.5,2280.00,0,2026-09-24T17:37:38+08:00
8299,群聯,2125.0,-4.06,暫不進場,⚪ 盤中轉弱,56.0,2070.00,0,2026-09-24T17:37:38+08:00
2317,鴻海,250.5,-2.15,觀察,⚪ 條件不足,59.0,244.00,0,2026-09-24T17:37:38+08:00
2308,台達電,1910.0,0.53,C級候選觀察,🟣 有前兆但未確認,66.3,1860.00,0,2026-09-24T17:37:38+08:00
3189,景碩,962.0,6.18,B級等二次確認,🟡 動能成立但缺一條件,72.5,929.00,0,2026-09-24T17:37:38+08:00
2303,聯電,154.0,-3.75,暫不進場,⚪ 盤中轉弱,56.0,150.00,2,2026-09-24T17:37:38+08:00
3711,日月光投控,699.0,0.87,C級候選觀察,🟣 有前兆但未確認,69.4,680.00,0,2026-09-24T17:37:38+08:00
2449,京元電子,311.0,2.3,C級候選觀察,🟣 有前兆但未確認,69.6,300.50,0,2026-09-24T17:37:38+08:00
3105,穩懋,502.0,1.01,C級候選觀察,🟣 有前兆但未確認,68.9,482.00,2,2026-09-24T17:37:38+08:00
6488,環球晶,948.0,-0.21,觀察,⚪ 條件不足,65.1,925.00,0,2026-09-24T17:37:38+08:00
6182,合晶,120.5,4.33,C級候選觀察,🟣 有前兆但未確認,69.3,114.50,0,2026-09-24T17:37:38+08:00
2327,國巨*,580.0,1.22,C級候選觀察,🟣 有前兆但未確認,62.6,560.00,0,2026-09-24T17:37:38+08:00
3481,群創,49.55,-0.1,觀察,⚪ 條件不足,63.8,48.35,0,2026-09-24T17:37:38+08:00
3661,世芯-KY,3770.0,0.27,C級候選觀察,🟣 有前兆但未確認,63.4,3675.00,0,2026-09-24T17:37:38+08:00
2344,華邦電,171.5,-0.58,觀察,⚪ 條件不足,63.0,166.50,0,2026-09-24T17:37:38+08:00
2383,台光電,5050.0,0.6,觀察,⚪ 條件不足,59.6,4925.00,0,2026-09-24T17:37:38+08:00
1303,南亞,238.0,4.62,C級候選觀察,🟣 有前兆但未確認,69.3,223.00,0,2026-09-24T17:37:38+08:00
3008,大立光,6245.0,0.89,觀察,⚪ 條件不足,58.5,6080.00,0,2026-09-24T17:37:38+08:00
3081,聯亞,2700.0,0.75,觀察,⚪ 條件不足,59.9,2595.00,0,2026-09-24T17:37:38+08:00
3231,緯創,184.5,2.5,C級候選觀察,🟣 有前兆但未確認,65.3,178.00,0,2026-09-24T17:37:38+08:00
4958,臻鼎-KY,475.5,0.53,觀察,⚪ 條件不足,61.0,464.00,0,2026-09-24T17:37:38+08:00
6669,緯穎,2115.0,0.48,觀察,⚪ 條件不足,58.8,2060.00,0,2026-09-24T17:37:38+08:00
